id,country,recency,frequency,monetary,r,f,m,rfm_score,fm,segment,cluster
53,East,948,1,2869,1,1,3,113,2,lost,0
54,East,947,1,4211,1,1,5,115,3,at risk,0
55,North,946,1,592,1,1,1,111,1,lost,2
56,North,945,1,1231,1,1,2,112,1,lost,2
57,West,944,1,3621,1,1,4,114,2,lost,0
58,East,943,1,410,1,1,1,111,1,lost,2
59,South,942,1,838,1,1,1,111,1,lost,2
60,West,941,1,3341,1,1,4,114,2,lost,0
61,North,940,1,645,1,1,1,111,1,lost,2
62,North,939,1,2561,1,1,3,113,2,lost,2
63,East,938,1,4446,1,1,5,115,3,at risk,0
64,North,937,1,4954,1,1,5,115,3,at risk,0
65,South,936,1,1904,1,1,2,112,1,lost,2
66,East,935,1,3312,1,1,4,114,2,lost,0
67,North,934,1,3910,1,1,4,114,2,lost,0
68,East,933,1,913,1,1,1,111,1,lost,2
69,North,932,1,4224,1,1,5,115,3,at risk,0
70,North,931,1,2132,1,1,3,113,2,lost,2
71,North,930,1,4672,1,1,5,115,3,at risk,0
72,South,929,1,4513,1,1,5,115,3,at risk,0
73,South,928,1,344,1,1,1,111,1,lost,2
74,East,927,1,4943,1,1,5,115,3,at risk,0
75,North,926,1,4892,1,1,5,115,3,at risk,0
76,North,925,1,371,1,1,1,111,1,lost,2
77,South,924,1,3611,1,1,4,114,2,lost,0
78,North,923,1,1871,1,1,2,112,1,lost,2
79,South,922,1,1362,1,1,2,112,1,lost,2
80,North,921,1,2524,1,1,3,113,2,lost,2
81,East,920,1,4461,1,1,5,115,3,at risk,0
82,North,919,1,1020,1,1,1,111,1,lost,2
83,North,918,1,3530,1,1,4,114,2,lost,0
84,West,917,1,4535,1,1,5,115,3,at risk,0
85,South,916,1,4584,1,1,5,115,3,at risk,0
86,North,915,1,2724,1,1,3,113,2,lost,0
87,North,914,1,3860,1,1,4,114,2,lost,0
88,West,913,1,2150,1,1,3,113,2,lost,2
89,West,912,1,3600,1,1,4,114,2,lost,0
90,South,911,1,1265,1,1,2,112,1,lost,2
91,West,910,1,475,1,1,1,111,1,lost,2
92,East,909,1,2133,1,1,3,113,2,lost,2
93,West,908,1,245,1,1,1,111,1,lost,2
94,East,907,1,4488,1,1,5,115,3,at risk,0
95,South,906,1,531,1,1,1,111,1,lost,2
96,South,905,1,804,1,1,1,111,1,lost,2
97,South,904,1,2732,1,1,3,113,2,lost,0
98,South,903,1,4594,1,1,5,115,3,at risk,0
99,South,902,1,1063,1,1,2,112,1,lost,2
100,East,901,1,2334,1,1,3,113,2,lost,2
101,East,900,1,2141,1,1,3,113,2,lost,2
102,South,899,1,1928,1,1,2,112,1,lost,2
103,West,898,1,2208,1,1,3,113,2,lost,2
104,North,897,1,4168,1,1,5,115,3,at risk,0
105,South,896,1,1038,1,1,2,112,1,lost,2
106,West,895,1,4905,1,1,5,115,3,at risk,0
107,North,894,1,906,1,1,1,111,1,lost,2
108,South,893,1,1563,1,1,2,112,1,lost,2
109,South,892,1,3515,1,1,4,114,2,lost,0
110,East,891,1,110,1,1,1,111,1,lost,2
111,North,890,1,1968,1,1,2,112,1,lost,2
112,North,889,1,4967,1,1,5,115,3,at risk,0
113,West,888,1,984,1,1,1,111,1,lost,2
114,East,887,1,3664,1,1,4,114,2,lost,0
115,East,886,1,1489,1,1,2,112,1,lost,2
116,East,885,1,3501,1,1,4,114,2,lost,0
117,East,884,1,4421,1,1,5,115,3,at risk,0
118,North,883,1,924,1,1,1,111,1,lost,2
119,North,882,1,2365,1,1,3,113,2,lost,2
120,South,881,1,1036,1,1,2,112,1,lost,2
121,South,880,1,2900,1,1,3,113,2,lost,0
122,East,879,1,2653,1,1,3,113,2,lost,0
123,East,878,1,3945,1,1,4,114,2,lost,0
124,East,877,1,1896,1,1,2,112,1,lost,2
125,South,876,1,153,1,1,1,111,1,lost,2
126,West,875,1,826,1,1,1,111,1,lost,2
127,West,874,1,2836,1,1,3,113,2,lost,0
128,South,873,1,3270,1,1,4,114,2,lost,0
129,South,872,1,2013,1,1,2,112,1,lost,2
130,South,871,1,1696,1,1,2,112,1,lost,2
131,South,870,1,2014,1,1,2,112,1,lost,2
132,South,869,1,2566,1,1,3,113,2,lost,2
133,South,868,1,2837,1,1,3,113,2,lost,0
134,East,867,1,949,1,1,1,111,1,lost,2
135,East,866,1,2209,1,1,3,113,2,lost,2
136,East,865,1,102,1,1,1,111,1,lost,2
137,East,864,1,4355,1,1,5,115,3,at risk,0
138,South,863,1,4169,1,1,5,115,3,at risk,0
139,West,862,1,4976,1,1,5,115,3,at risk,0
140,North,861,1,992,1,1,1,111,1,lost,2
141,South,860,1,2130,1,1,3,113,2,lost,2
142,North,859,1,3260,1,1,4,114,2,lost,0
143,West,858,1,2476,1,1,3,113,2,lost,2
144,East,857,1,4775,1,1,5,115,3,at risk,0
145,West,856,1,2033,1,1,2,112,1,lost,2
146,South,855,1,1480,1,1,2,112,1,lost,2
147,East,854,1,3781,1,1,4,114,2,lost,0
148,South,853,1,1390,1,1,2,112,1,lost,2
149,East,852,1,1740,1,1,2,112,1,lost,2
150,North,851,1,2782,1,1,3,113,2,lost,0
151,North,850,1,1087,1,1,2,112,1,lost,2
152,North,849,1,1318,1,1,2,112,1,lost,2
153,West,848,1,1455,1,1,2,112,1,lost,2
154,South,847,1,4365,1,1,5,115,3,at risk,0
155,West,846,1,4716,1,1,5,115,3,at risk,0
156,North,845,1,4235,1,1,5,115,3,at risk,0
157,South,844,1,1660,1,1,2,112,1,lost,2
158,North,843,1,1518,1,1,2,112,1,lost,2
159,West,842,1,1054,1,1,2,112,1,lost,2
160,West,841,1,1083,1,1,2,112,1,lost,2
161,West,840,1,1074,1,1,2,112,1,lost,2
162,North,839,1,4233,1,1,5,115,3,at risk,0
163,South,838,1,4072,1,1,5,115,3,at risk,0
164,South,837,1,1013,1,1,1,111,1,lost,2
165,North,836,1,4649,1,1,5,115,3,at risk,0
166,South,835,1,136,1,1,1,111,1,lost,2
167,North,834,1,3487,1,1,4,114,2,lost,0
168,South,833,1,1811,1,1,2,112,1,lost,2
169,East,832,1,3120,1,1,4,114,2,lost,0
170,East,831,1,895,1,1,1,111,1,lost,2
171,West,830,1,4136,1,1,5,115,3,at risk,0
172,East,829,1,4788,1,1,5,115,3,at risk,0
173,East,828,1,3211,1,1,4,114,2,lost,0
174,East,827,1,1424,1,1,2,112,1,lost,2
175,North,826,1,417,1,1,1,111,1,lost,2
176,East,825,1,2496,1,1,3,113,2,lost,2
177,East,824,1,2262,1,1,3,113,2,lost,2
178,West,823,1,2845,1,1,3,113,2,lost,0
179,East,822,1,1691,1,1,2,112,1,lost,2
180,East,821,1,3211,1,1,4,114,2,lost,0
181,South,820,1,4030,1,1,5,115,3,at risk,0
182,West,819,1,2096,1,1,3,113,2,lost,2
183,West,818,1,1412,1,1,2,112,1,lost,2
184,West,817,1,1385,1,1,2,112,1,lost,2
185,West,816,1,4411,1,1,5,115,3,at risk,0
186,West,815,1,2483,1,1,3,113,2,lost,2
187,West,814,1,3339,1,1,4,114,2,lost,0
188,North,813,1,2239,1,1,3,113,2,lost,2
189,East,812,1,1804,1,1,2,112,1,lost,2
190,West,811,1,462,1,1,1,111,1,lost,2
191,East,810,1,2704,1,1,3,113,2,lost,0
192,East,809,1,1816,1,1,2,112,1,lost,2
193,North,808,1,4551,1,1,5,115,3,at risk,0
194,West,807,1,4386,1,1,5,115,3,at risk,0
195,South,806,1,3838,1,1,4,114,2,lost,0
196,North,805,1,2569,1,1,3,113,2,lost,2
197,South,804,1,4895,1,1,5,115,3,at risk,0
198,East,803,1,656,1,1,1,111,1,lost,2
199,East,802,1,925,1,1,1,111,1,lost,2
200,North,801,1,2908,1,1,3,113,2,lost,0
201,North,800,1,4621,2,1,5,215,3,at risk,0
202,South,799,1,2819,2,1,3,213,2,hibernating,0
203,West,798,1,3608,2,1,4,214,2,hibernating,0
204,South,797,1,3841,2,1,4,214,2,hibernating,0
205,North,796,1,1674,2,1,2,212,1,lost,2
206,South,795,1,4098,2,1,5,215,3,at risk,0
207,North,794,1,2229,2,1,3,213,2,hibernating,2
208,South,793,1,2503,2,1,3,213,2,hibernating,2
209,North,792,1,3429,2,1,4,214,2,hibernating,0
210,North,791,1,688,2,1,1,211,1,lost,2
211,North,790,1,2112,2,1,3,213,2,hibernating,2
212,West,789,1,1647,2,1,2,212,1,lost,2
213,South,788,1,394,2,1,1,211,1,lost,2
214,South,787,1,2085,2,1,3,213,2,hibernating,2
215,South,786,1,3217,2,1,4,214,2,hibernating,0
216,North,785,1,1790,2,1,2,212,1,lost,2
217,South,784,1,1236,2,1,2,212,1,lost,2
218,South,783,1,2164,2,1,3,213,2,hibernating,2
219,North,782,1,4555,2,1,5,215,3,at risk,0
220,East,781,1,4895,2,1,5,215,3,at risk,0
221,North,780,1,4643,2,1,5,215,3,at risk,0
222,South,779,1,4870,2,1,5,215,3,at risk,0
223,North,778,1,1107,2,1,2,212,1,lost,2
224,East,777,1,2614,2,1,3,213,2,hibernating,0
225,North,776,1,3626,2,1,4,214,2,hibernating,0
226,South,775,1,4781,2,1,5,215,3,at risk,0
227,East,774,1,1347,2,1,2,212,1,lost,2
228,West,773,1,4002,2,1,4,214,2,hibernating,0
229,South,772,1,1535,2,1,2,212,1,lost,2
230,East,771,1,671,2,1,1,211,1,lost,2
231,East,770,1,2482,2,1,3,213,2,hibernating,2
232,West,769,1,1345,2,1,2,212,1,lost,2
233,North,768,1,2184,2,1,3,213,2,hibernating,2
234,North,767,1,377,2,1,1,211,1,lost,2
235,South,766,1,1987,2,1,2,212,1,lost,2
236,West,765,1,4679,2,1,5,215,3,at risk,0
237,North,764,1,1365,2,1,2,212,1,lost,2
238,West,763,1,4926,2,1,5,215,3,at risk,0
239,North,762,1,1140,2,1,2,212,1,lost,2
240,East,761,1,1017,2,1,1,211,1,lost,2
241,North,760,1,985,2,1,1,211,1,lost,2
242,West,759,1,2852,2,1,3,213,2,hibernating,0
243,East,758,1,121,2,1,1,211,1,lost,2
244,East,757,1,4669,2,1,5,215,3,at risk,0
245,East,756,1,3291,2,1,4,214,2,hibernating,0
246,West,755,1,2453,2,1,3,213,2,hibernating,2
247,South,754,1,4899,2,1,5,215,3,at risk,0
248,South,753,1,786,2,1,1,211,1,lost,2
249,South,752,1,384,2,1,1,211,1,lost,2
250,West,751,1,4911,2,1,5,215,3,at risk,0
251,East,750,1,3847,2,1,4,214,2,hibernating,0
252,South,749,1,862,2,1,1,211,1,lost,2
253,West,748,1,2528,2,1,3,213,2,hibernating,2
254,South,747,1,2607,2,1,3,213,2,hibernating,0
255,North,746,1,128,2,1,1,211,1,lost,2
256,South,745,1,1006,2,1,1,211,1,lost,2
257,South,744,1,3204,2,1,4,214,2,hibernating,0
258,East,743,1,4099,2,1,5,215,3,at risk,0
259,West,742,1,3094,2,1,4,214,2,hibernating,0
260,East,741,1,2606,2,1,3,213,2,hibernating,0
261,East,740,1,4765,2,1,5,215,3,at risk,0
262,East,739,1,3709,2,1,4,214,2,hibernating,0
263,East,738,1,3653,2,1,4,214,2,hibernating,0
264,East,737,1,1553,2,1,2,212,1,lost,2
265,South,736,1,4933,2,1,5,215,3,at risk,0
266,East,735,1,3456,2,1,4,214,2,hibernating,0
267,East,734,1,615,2,1,1,211,1,lost,2
268,West,733,1,138,2,1,1,211,1,lost,2
269,North,732,1,3442,2,1,4,214,2,hibernating,0
270,South,731,1,986,2,1,1,211,1,lost,2
271,South,730,1,2944,2,1,3,213,2,hibernating,0
272,South,729,1,2304,2,1,3,213,2,hibernating,2
273,East,728,1,1198,2,1,2,212,1,lost,2
274,East,727,1,1923,2,1,2,212,1,lost,2
275,East,726,1,3301,2,1,4,214,2,hibernating,0
276,West,725,1,3255,2,1,4,214,2,hibernating,0
277,North,724,1,3193,2,1,4,214,2,hibernating,0
278,East,723,1,3630,2,1,4,214,2,hibernating,0
279,North,722,1,3878,2,1,4,214,2,hibernating,0
280,West,721,1,2996,2,1,3,213,2,hibernating,0
281,South,720,1,3553,2,1,4,214,2,hibernating,0
282,East,719,1,3611,2,1,4,214,2,hibernating,0
283,North,718,1,1088,2,1,2,212,1,lost,2
284,North,717,1,4216,2,1,5,215,3,at risk,0
285,East,716,1,4126,2,1,5,215,3,at risk,0
286,South,715,1,4279,2,1,5,215,3,at risk,0
287,South,714,1,1782,2,1,2,212,1,lost,2
288,South,713,1,4765,2,1,5,215,3,at risk,0
289,West,712,1,4063,2,1,5,215,3,at risk,0
290,North,711,1,1033,2,1,2,212,1,lost,2
291,North,710,1,3698,2,1,4,214,2,hibernating,0
292,North,709,1,3333,2,1,4,214,2,hibernating,0
293,West,708,1,2080,2,1,3,213,2,hibernating,2
294,North,707,1,1955,2,1,2,212,1,lost,2
295,West,706,1,3156,2,1,4,214,2,hibernating,0
296,South,705,1,892,2,1,1,211,1,lost,2
297,East,704,1,891,2,1,1,211,1,lost,2
298,North,703,1,1909,2,1,2,212,1,lost,2
299,North,702,1,2355,2,1,3,213,2,hibernating,2
300,South,701,1,3710,2,1,4,214,2,hibernating,0
301,East,700,1,1707,2,1,2,212,1,lost,2
302,West,699,1,1084,2,1,2,212,1,lost,2
303,East,698,1,3776,2,1,4,214,2,hibernating,0
304,South,697,1,3480,2,1,4,214,2,hibernating,0
305,South,696,1,619,2,1,1,211,1,lost,2
306,East,695,1,690,2,1,1,211,1,lost,2
307,West,694,1,1150,2,1,2,212,1,lost,2
308,West,693,1,3733,2,1,4,214,2,hibernating,0
309,North,692,1,4544,2,1,5,215,3,at risk,0
310,West,691,1,1059,2,1,2,212,1,lost,2
311,East,690,1,792,2,1,1,211,1,lost,2
312,South,689,1,3999,2,1,4,214,2,hibernating,0
313,North,688,1,4573,2,1,5,215,3,at risk,0
314,North,687,1,3046,2,1,3,213,2,hibernating,0
315,South,686,1,626,2,1,1,211,1,lost,2
316,West,685,1,3324,2,1,4,214,2,hibernating,0
317,South,684,1,2353,2,1,3,213,2,hibernating,2
318,West,683,1,3444,2,1,4,214,2,hibernating,0
319,South,682,1,4065,2,1,5,215,3,at risk,0
320,East,681,1,1975,2,1,2,212,1,lost,2
321,West,680,1,1863,2,1,2,212,1,lost,2
322,East,679,1,620,2,1,1,211,1,lost,2
323,North,678,1,1116,2,1,2,212,1,lost,2
324,South,677,1,216,2,1,1,211,1,lost,2
325,North,676,1,2533,2,1,3,213,2,hibernating,2
326,North,675,1,683,2,1,1,211,1,lost,2
327,North,674,1,494,2,1,1,211,1,lost,2
328,North,673,1,3888,2,1,4,214,2,hibernating,0
329,South,672,1,2868,2,1,3,213,2,hibernating,0
330,North,671,1,4267,2,1,5,215,3,at risk,0
331,South,670,1,3960,2,1,4,214,2,hibernating,0
332,South,669,1,373,2,1,1,211,1,lost,2
333,East,668,1,2113,2,1,3,213,2,hibernating,2
334,West,667,1,4533,2,1,5,215,3,at risk,0
335,West,666,1,1489,2,1,2,212,1,lost,2
336,South,665,1,3666,2,1,4,214,2,hibernating,0
337,East,664,1,4802,2,1,5,215,3,at risk,0
338,South,663,1,265,2,1,1,211,1,lost,2
339,South,662,1,1667,2,1,2,212,1,lost,2
340,South,661,1,828,2,1,1,211,1,lost,2
341,East,660,1,2143,2,1,3,213,2,hibernating,2
342,West,659,1,4297,2,1,5,215,3,at risk,0
343,East,658,1,3596,2,1,4,214,2,hibernating,0
344,North,657,1,878,2,1,1,211,1,lost,2
345,East,656,1,313,2,1,1,211,1,lost,2
346,East,655,1,3862,2,1,4,214,2,hibernating,0
347,East,654,1,1676,2,1,2,212,1,lost,2
348,East,653,1,2548,2,1,3,213,2,hibernating,2
349,West,652,1,3036,2,1,3,213,2,hibernating,0
350,North,651,1,3217,2,1,4,214,2,hibernating,0
351,West,650,1,691,2,1,1,211,1,lost,2
352,West,649,1,2820,2,1,3,213,2,hibernating,0
353,East,648,1,813,2,1,1,211,1,lost,2
354,South,647,1,1035,2,1,2,212,1,lost,2
355,South,646,1,4437,2,1,5,215,3,at risk,0
356,West,645,1,101,2,1,1,211,1,lost,2
357,West,644,1,2948,2,1,3,213,2,hibernating,0
358,East,643,1,4144,2,1,5,215,3,at risk,0
359,West,642,1,2049,2,1,3,213,2,hibernating,2
360,East,641,1,1017,2,1,1,211,1,lost,2
361,South,640,1,3274,2,1,4,214,2,hibernating,0
362,South,639,1,2341,2,1,3,213,2,hibernating,2
363,North,638,1,189,2,1,1,211,1,lost,2
364,South,637,1,1809,2,1,2,212,1,lost,2
365,West,636,1,2269,2,1,3,213,2,hibernating,2
366,South,635,1,4338,2,1,5,215,3,at risk,0
367,East,634,1,3141,2,1,4,214,2,hibernating,0
368,South,633,1,205,2,1,1,211,1,lost,2
369,North,632,1,986,2,1,1,211,1,lost,2
370,South,631,1,527,2,1,1,211,1,lost,2
371,East,630,1,1995,2,1,2,212,1,lost,2
372,East,629,1,416,2,1,1,211,1,lost,2
373,West,628,1,734,2,1,1,211,1,lost,2
374,South,627,1,2025,2,1,2,212,1,lost,2
375,East,626,1,2156,2,1,3,213,2,hibernating,2
376,North,625,1,3244,2,1,4,214,2,hibernating,0
377,West,624,1,2370,2,1,3,213,2,hibernating,2
378,North,623,1,1539,2,1,2,212,1,lost,2
379,South,622,1,652,2,1,1,211,1,lost,2
380,South,621,1,815,2,1,1,211,1,lost,2
381,South,620,1,4011,2,1,4,214,2,hibernating,0
382,West,619,1,1813,2,1,2,212,1,lost,2
383,East,618,1,3489,2,1,4,214,2,hibernating,0
384,West,617,1,1207,2,1,2,212,1,lost,2
385,North,616,1,4306,2,1,5,215,3,at risk,0
386,West,615,1,350,2,1,1,211,1,lost,2
387,North,614,1,2530,2,1,3,213,2,hibernating,2
388,West,613,1,2154,2,1,3,213,2,hibernating,2
389,East,612,1,558,2,1,1,211,1,lost,2
390,North,611,1,307,2,1,1,211,1,lost,2
391,South,610,1,999,2,1,1,211,1,lost,2
392,South,609,1,3561,2,1,4,214,2,hibernating,0
393,West,608,1,3485,2,1,4,214,2,hibernating,0
394,South,607,1,121,2,1,1,211,1,lost,2
395,North,606,1,509,2,1,1,211,1,lost,2
396,South,605,1,994,2,1,1,211,1,lost,2
397,East,604,1,614,2,1,1,211,1,lost,2
398,East,603,1,4209,2,1,5,215,3,at risk,0
399,West,602,1,2234,2,1,3,213,2,hibernating,2
400,North,601,1,3695,2,1,4,214,2,hibernating,0
401,East,600,1,3056,3,1,3,313,2,about to sleep,0
402,East,599,1,1660,3,1,2,312,1,about to sleep,2
403,North,598,1,1366,3,1,2,312,1,about to sleep,2
404,South,597,1,2269,3,1,3,313,2,about to sleep,2
405,South,596,1,3738,3,1,4,314,2,about to sleep,0
406,West,595,1,849,3,1,1,311,1,about to sleep,2
407,South,594,1,3527,3,1,4,314,2,about to sleep,0
408,North,593,1,4880,3,1,5,315,3,need attention,0
409,East,592,1,2027,3,1,2,312,1,about to sleep,2
410,South,591,1,3904,3,1,4,314,2,about to sleep,0
411,West,590,1,3802,3,1,4,314,2,about to sleep,0
412,South,589,1,2456,3,1,3,313,2,about to sleep,2
413,North,588,1,4890,3,1,5,315,3,need attention,0
414,West,587,1,2435,3,1,3,313,2,about to sleep,2
415,South,586,1,406,3,1,1,311,1,about to sleep,2
416,West,585,1,3765,3,1,4,314,2,about to sleep,0
417,North,584,1,2089,3,1,3,313,2,about to sleep,2
418,East,583,1,761,3,1,1,311,1,about to sleep,2
419,North,582,1,4744,3,1,5,315,3,need attention,0
420,North,581,1,411,3,1,1,311,1,about to sleep,2
421,North,580,1,3020,3,1,3,313,2,about to sleep,0
422,North,579,1,1182,3,1,2,312,1,about to sleep,2
423,East,578,1,3071,3,1,3,313,2,about to sleep,0
424,East,577,1,854,3,1,1,311,1,about to sleep,2
425,West,576,1,4230,3,1,5,315,3,need attention,0
426,South,575,1,4640,3,1,5,315,3,need attention,0
427,East,574,1,452,3,1,1,311,1,about to sleep,2
428,East,573,1,1002,3,1,1,311,1,about to sleep,2
429,South,572,1,3988,3,1,4,314,2,about to sleep,0
430,East,571,1,258,3,1,1,311,1,about to sleep,2
431,North,570,1,2077,3,1,3,313,2,about to sleep,2
432,North,569,1,1056,3,1,2,312,1,about to sleep,2
433,South,568,1,2171,3,1,3,313,2,about to sleep,2
434,West,567,1,503,3,1,1,311,1,about to sleep,2
435,West,566,1,4711,3,1,5,315,3,need attention,0
436,South,565,1,2879,3,1,3,313,2,about to sleep,0
437,South,564,1,1487,3,1,2,312,1,about to sleep,2
438,North,563,1,3553,3,1,4,314,2,about to sleep,0
439,West,562,1,1055,3,1,2,312,1,about to sleep,2
440,East,561,1,1812,3,1,2,312,1,about to sleep,2
441,North,560,1,4803,3,1,5,315,3,need attention,0
442,South,559,1,1373,3,1,2,312,1,about to sleep,2
443,West,558,1,3911,3,1,4,314,2,about to sleep,0
444,East,557,1,2725,3,1,3,313,2,about to sleep,0
445,East,556,1,2482,3,1,3,313,2,about to sleep,2
446,North,555,1,1541,3,1,2,312,1,about to sleep,2
447,West,554,1,3079,3,1,4,314,2,about to sleep,0
448,West,553,1,1897,3,1,2,312,1,about to sleep,2
449,South,552,1,4490,3,1,5,315,3,need attention,0
450,West,551,1,4109,3,1,5,315,3,need attention,0
451,West,550,1,4950,3,1,5,315,3,need attention,0
452,North,549,1,1494,3,1,2,312,1,about to sleep,2
453,West,548,1,4381,3,1,5,315,3,need attention,0
454,East,547,1,1369,3,1,2,312,1,about to sleep,2
455,North,546,1,4832,3,1,5,315,3,need attention,0
456,North,545,1,3814,3,1,4,314,2,about to sleep,0
457,South,544,1,629,3,1,1,311,1,about to sleep,2
458,West,543,1,3723,3,1,4,314,2,about to sleep,0
459,South,542,1,3058,3,1,3,313,2,about to sleep,0
460,East,541,1,3014,3,1,3,313,2,about to sleep,0
461,North,540,1,4989,3,1,5,315,3,need attention,0
462,North,539,1,3691,3,1,4,314,2,about to sleep,0
463,North,538,1,2247,3,1,3,313,2,about to sleep,2
464,East,537,1,4673,3,1,5,315,3,need attention,0
465,East,536,1,3469,3,1,4,314,2,about to sleep,0
466,South,535,1,1039,3,1,2,312,1,about to sleep,2
467,South,534,1,625,3,1,1,311,1,about to sleep,2
468,South,533,1,101,3,1,1,311,1,about to sleep,2
469,West,532,1,474,3,1,1,311,1,about to sleep,2
470,North,531,1,2440,3,1,3,313,2,about to sleep,2
471,North,530,1,4105,3,1,5,315,3,need attention,0
472,South,529,1,3152,3,1,4,314,2,about to sleep,0
473,North,528,1,4748,3,1,5,315,3,need attention,0
474,South,527,1,2465,3,1,3,313,2,about to sleep,2
475,West,526,1,1625,3,1,2,312,1,about to sleep,2
476,West,525,1,4576,3,1,5,315,3,need attention,0
477,East,524,1,1746,3,1,2,312,1,about to sleep,2
478,West,523,1,113,3,1,1,311,1,about to sleep,2
479,South,522,1,4699,3,1,5,315,3,need attention,0
480,West,521,1,2378,3,1,3,313,2,about to sleep,2
481,East,520,1,3255,3,1,4,314,2,about to sleep,0
482,North,519,1,229,3,1,1,311,1,about to sleep,2
483,South,518,1,3914,3,1,4,314,2,about to sleep,0
484,North,517,1,3316,3,1,4,314,2,about to sleep,0
485,East,516,1,3038,3,1,3,313,2,about to sleep,0
486,East,515,1,4028,3,1,5,315,3,need attention,0
487,East,514,1,2140,3,1,3,313,2,about to sleep,2
488,North,513,1,127,3,1,1,311,1,about to sleep,3
489,North,512,1,2213,3,1,3,313,2,about to sleep,2
490,North,511,1,1352,3,1,2,312,1,about to sleep,2
491,North,510,1,4456,3,1,5,315,3,need attention,0
492,East,509,1,2146,3,1,3,313,2,about to sleep,2
493,East,508,1,4655,3,1,5,315,3,need attention,0
494,South,507,1,4123,3,1,5,315,3,need attention,0
495,South,506,1,4496,3,1,5,315,3,need attention,0
496,North,505,1,3474,3,1,4,314,2,about to sleep,0
497,West,504,1,3566,3,1,4,314,2,about to sleep,0
498,West,503,1,3181,3,1,4,314,2,about to sleep,1
499,East,502,1,3878,3,1,4,314,2,about to sleep,0
500,East,501,1,729,3,1,1,311,1,about to sleep,3
501,East,500,1,369,3,1,1,311,1,about to sleep,3
502,South,499,1,2739,3,1,3,313,2,about to sleep,1
503,South,498,1,2093,3,1,3,313,2,about to sleep,2
504,East,497,1,2991,3,1,3,313,2,about to sleep,1
505,East,496,1,3532,3,1,4,314,2,about to sleep,1
506,East,495,1,1380,3,1,2,312,1,about to sleep,3
507,West,494,1,2460,3,1,3,313,2,about to sleep,2
508,South,493,1,675,3,1,1,311,1,about to sleep,3
509,West,492,1,1407,3,1,2,312,1,about to sleep,3
510,West,491,1,3292,3,1,4,314,2,about to sleep,1
511,East,490,1,3278,3,1,4,314,2,about to sleep,1
512,East,489,1,2834,3,1,3,313,2,about to sleep,1
513,North,488,1,2312,3,1,3,313,2,about to sleep,3
514,North,487,1,2452,3,1,3,313,2,about to sleep,3
515,West,486,1,3668,3,1,4,314,2,about to sleep,1
516,South,485,1,1755,3,1,2,312,1,about to sleep,3
517,East,484,1,1679,3,1,2,312,1,about to sleep,3
518,East,483,1,2303,3,1,3,313,2,about to sleep,3
